Time,Disp,Force,CrackLen,CrackExt,G_I
217.6,16.3366946,76.98636663,71.0008887,33.97367764,0.932587378
217.8,16.355852,76.92787254,71.01346418,33.98625312,0.932828634
218,16.37240703,76.89864773,71.03861515,34.01140409,0.933132148
218.2,16.38776003,76.92787254,71.07634161,34.04913055,0.933933002
218.4,16.40482874,76.6645824,71.08891709,34.06170603,0.931563354
218.6,16.42330241,76.38665761,71.12664355,34.09943249,0.928804965
218.8,16.44089957,76.21113085,71.25346418,34.22625312,0.926234428
219,16.45590981,76.02092496,71.32067386,34.2934628,0.924011861
219.2,16.47291394,75.88934661,71.3542787,34.32706764,0.922989223
219.4,16.49118267,75.91857142,71.39908515,34.37187409,0.923866418
219.6,16.51054634,75.86007733,71.42148838,34.39427732,0.923987523
219.8,16.52487535,75.72841001,71.43268999,34.40547893,0.923058954
220,16.53984021,75.71373089,71.47749645,34.45028539,0.923214366
220.2,16.55896693,75.83080804,71.51110129,34.48389023,0.925334479
220.4,16.57814997,75.84544268,71.64552065,34.61830959,0.925079372
220.6,16.59561949,75.83076356,71.65672227,34.62951121,0.925749587
220.8,16.61088146,75.83076356,71.71273033,34.68551927,0.925973996
221,16.62732965,75.9186159,71.75753679,34.73032573,0.927462711
221.2,16.6477489,75.88930213,71.77994002,34.75272896,0.927992113
221.4,16.66600743,75.88930213,71.80234324,34.77513218,0.928758737
221.6,16.67955245,76.02096944,71.82474647,34.79753541,0.930874606
221.8,16.69608194,76.00629032,71.88075454,34.85354348,0.930988119
222,16.71495387,75.97706551,71.92354475,34.89633369,0.931201671
222.2,16.7331835,76.16722692,71.95022055,34.92300949,0.934250178
222.4,16.74790803,76.0063348,72.01246408,34.98525302,0.93239798
222.6,16.76506175,76.06482889,72.03024795,35.00303689,0.933871366
222.8,16.78336136,76.19645172,72.07470762,35.04749656,0.936007649
223,16.80036624,76.02092496,72.09249149,35.06528043,0.934597719
223.2,16.81811803,76.02092496,72.11027536,35.0830643,0.935385204
223.4,16.83312292,76.09414266,72.13695116,35.1097401,0.936820984
223.6,16.85164093,76.2549903,72.15473503,35.12752397,0.939633163
223.8,16.87077564,76.18186156,72.16362696,35.1364159,0.939697559
224,16.8872894,76.15259227,72.18141083,35.15419977,0.940055117
224.2,16.90162828,75.97706551,72.19919469,35.17198363,0.938484217
224.4,16.92004919,75.96243087,72.23476243,35.20755137,0.938925017
224.6,16.94047925,76.07946354,72.2525463,35.22533524,0.941306073
224.8,16.95791632,76.03555961,72.34146564,35.31425458,0.940727228
225,16.96921672,76.06478441,72.37703337,35.34982231,0.941314513
225.2,16.98683063,76.07950802,72.43927691,35.41206585,0.941771472
225.4,17.0054845,76.02096944,72.53708818,35.50987712,0.940978037
225.6,17.02174846,76.12336747,72.63489945,35.60768839,0.94204451
225.8,17.03839838,76.10873282,72.63489945,35.60768839,0.942784691
226,17.05467246,76.18181708,72.65268332,35.62547226,0.944390712
226.2,17.07354342,76.43056154,72.66157525,35.63436419,0.948421925
226.4,17.0919752,76.15259227,72.68825105,35.66103999,0.945691466
226.6,17.10896893,76.29889423,72.69714299,35.66993193,0.948349677
226.8,17.12377436,75.99170016,72.71492685,35.68771579,0.94514813
227,17.14213217,76.06487338,72.72381879,35.69660773,0.946971954
227.2,17.16073912,76.15259227,72.77717039,35.74995933,0.94848915
227.4,17.17914213,76.02101393,72.77717039,35.74995933,0.94786572
227.6,17.19313539,76.0063348,72.83941393,35.81220287,0.947751028
227.8,17.20985304,75.94784071,72.91944133,35.89223027,0.947039196
228,17.22849703,75.84544268,72.95500907,35.92779801,0.946386111
228.2,17.24632114,76.02092496,73.0172526,35.99004154,0.948854189
228.4,17.26176175,75.88934661,73.07949614,36.05228508,0.947358633
228.6,17.27855416,76.03555961,73.15063161,36.12342055,0.949304708
228.8,17.29748285,75.99165567,73.15952355,36.13231249,0.949695658
229,17.31536145,75.99170016,73.20398321,36.17677215,0.950176245
229.2,17.3294772,76.15263676,73.24844288,36.22123182,0.952462273
229.4,17.34638491,75.84544268,73.24844288,36.22123182,0.949545643
229.6,17.36542189,75.80158323,73.25733482,36.23012376,0.949937849
229.8,17.3848135,75.90393678,73.31068642,36.28347536,0.951680604
230,17.40172234,75.80158323,73.39960576,36.3723947,0.950320181
230.2,17.4156011,75.86007733,73.4257742,36.39856314,0.951517237
230.4,17.43343116,75.71373089,73.42628156,36.3990705,0.950648179
230.6,17.45167403,75.7576793,73.43517349,36.40796243,0.952095153
230.8,17.46742361,75.72836553,73.46184929,36.43463823,0.952285025
231,17.4833991,75.66987144,73.47963316,36.4524221,0.952219396
231.2,17.50055039,75.77231395,73.50630896,36.4790979,0.954142861
231.4,17.51924247,75.39194665,73.5152009,36.48798984,0.950267264
231.6,17.53671334,75.20182973,73.5418767,36.51466564,0.948517062
231.8,17.55105649,75.17256044,73.55076863,36.52355757,0.948823655
232,17.56919069,75.02625849,73.5685525,36.54134144,0.947756289
232.2,17.58817277,75.15797028,73.58633637,36.55912531,0.950246213
232.4,17.60721127,74.95312975,73.5952283,36.56801724,0.948582509
232.6,17.62066012,74.93849511,73.60412024,36.57690918,0.949022032
232.8,17.63774886,74.98235456,73.61301217,36.58580111,0.95039857
233,17.65677972,74.95312975,73.71971537,36.69250431,0.949856294
233.2,17.67576446,74.77755851,73.73749924,36.71028818,0.948451299
233.4,17.69137959,74.8068278,73.79085085,36.76363979,0.949063667
233.6,17.70671091,74.74828922,73.80863471,36.78142365,0.948943933
233.8,17.72344776,74.47040892,73.83531051,36.80809945,0.94601249
234,17.74186405,74.68983961,73.87087825,36.84366719,0.94938812
234.2,17.75857884,74.66057032,73.95090565,36.92369459,0.949015981
234.4,17.77438282,74.67520497,73.99536532,36.96815426,0.949550158
234.6,17.79212364,74.71906441,74.00425726,36.9770462,0.950956767
234.8,17.81066059,74.66052584,74.03093306,37.003722,0.950903549
235,17.82677805,74.63130103,74.05760886,37.0303978,0.951093351
235.2,17.84293064,74.74837818,74.08428466,37.0570736,0.953149795
235.4,17.85999161,74.48504356,74.15542013,37.12820907,0.949906494
235.6,17.87896855,74.70447425,74.20877173,37.18156067,0.953120483
235.8,17.89696721,74.54358214,74.31547494,37.28826388,0.950835386
236,17.9125158,74.71906441,74.35993461,37.33272355,0.953405292
236.2,17.92755881,74.66057032,74.37771848,37.35050742,0.953260512
236.4,17.94498184,73.81216132,74.41328621,37.38607515,0.942951467
236.6,17.96104702,73.65122472,74.44885395,37.42164289,0.941346137
236.8,17.97580352,73.7389881,74.47552975,37.44831869,0.942948018
237,17.99404604,73.54887118,74.50220555,37.47499449,0.941177836
237.2,18.0126691,73.79757116,74.51109748,37.48388642,0.945239504
237.4,18.02947188,73.62199992,74.51998942,37.49277836,0.943772279
237.6,18.04695325,73.7097633,74.55555715,37.52834609,0.945420602
237.8,18.06350689,73.85606525,74.55555715,37.52834609,0.948166021
238,18.07964188,73.59273063,74.60890876,37.5816977,0.945040371
238.2,18.10047904,73.35870977,74.65336842,37.62615736,0.94263174
238.4,18.11738039,73.0222909,74.67115229,37.64394123,0.938990221
238.6,18.13102274,73.08078499,74.69782809,37.67061703,0.940157499
238.8,18.14893526,72.84671965,74.70672003,37.67950897,0.937974937
239,18.16823949,72.81745036,74.8045313,37.77732024,0.937526223
239.2,18.18740834,72.67114841,74.79563937,37.76842831,0.936726755
239.4,18.2000805,72.40785827,74.81342323,37.78621217,0.933789854
239.6,18.21657527,72.42249291,74.84899097,37.82177991,0.934438042
239.8,18.23482878,72.12993348,74.89345064,37.86623958,0.931113975
240,18.25089589,72.17388189,74.94680224,37.91959118,0.931923808
240.2,18.26669063,71.93981656,74.97347804,37.94626698,0.929417151
240.4,18.28442588,71.85205318,75.02682964,37.99961858,0.928608759
240.6,18.30437311,71.89586814,75.06239738,38.03518632,0.929804558
240.8,18.32293851,71.92518191,75.08907318,38.06186212,0.930838807
241,18.33723934,71.79347012,75.16020865,38.13299759,0.929092272
241.2,18.35373925,71.98363153,75.29358766,38.2663766,0.930951341
241.4,18.37257421,71.85205318,75.31137153,38.28416047,0.930011758
241.6,18.39096864,71.89591263,75.32915539,38.30194433,0.931319389
241.8,18.40750405,71.83737405,75.35583119,38.32862013,0.931110271
242,18.42279164,71.77883548,75.382507,38.35529594,0.930836872
242.2,18.44095374,71.83737405,75.4091828,38.38197174,0.932226756
242.4,18.46051202,71.95440672,75.41807473,38.39086367,0.934639692
242.6,18.47755059,71.9544512,75.4625344,38.43532334,0.935022237
242.8,18.49262426,71.8812335,75.49810214,38.47089108,0.934448687
243,18.50987276,72.05680474,75.56923761,38.54202655,0.936834938
243.2,18.52890007,71.77887996,75.63148114,38.60427008,0.93351016
243.4,18.54741245,72.04221458,75.68483275,38.65762169,0.937294226
243.6,18.56272552,71.9544512,75.73818435,38.71097329,0.936349438
243.8,18.57946592,71.98367601,75.73818435,38.71097329,0.937574513
244,18.59831188,72.02753546,75.77375208,38.74654102,0.938712737
