15FM,,18FM,,13FM,,20FM,,12FF,,22FM,,14FF,,19FM,
X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
2.3057197317718687,846.739711750751,2.3858956250657086,790.841481197062,2.9093335893111,831.7412430463185,2.5354780613341013,612.938761890396,2.5164625701081964,958.6934163432663,2.171660518629239,704.3100256434872,1.8458922425023654,638.0702933230943,2.330311881482294,939.9704711362215
2.3582683104096103,870.4907916569533,2.477115130571516,809.5242013265135,2.978703564033295,841.9401286288278,2.6083403041564392,597.7153984339647,2.615763659385013,960.430408330248,2.240865936215826,709.4240957356849,1.8842340550992143,622.8323025657202,2.3686536940791427,924.7324803788472
2.4151319428255373,894.2436999757737,2.5552797699856926,824.8115592245704,3.0568133510689357,855.5325480301141,2.6684767951583637,589.2663037267622,2.6676540094803194,963.8422262752038,2.3401670254926428,711.1610877226665,1.9402749018370975,621.161133432982,2.3891867677778844,892.5377910032959
2.46751596432767,912.9099643916644,2.620718657579456,846.8731858718559,3.1176080706132954,867.4227152841584,2.73724339371666,580.8208658447953,2.7665711321073827,953.7146487847914,2.4697831959738354,716.3007555915145,2.0182749841156653,631.3636758407271,2.427309170860588,870.5200462588393
2.5156946368086888,934.9642773884784,2.712047867842336,868.9457829948485,3.200307173319803,889.4916555819153,2.801201267089944,557.1191530792755,2.822392569331121,945.2637256649709,2.5434133720956806,724.8065310898711,2.074809502260375,644.946953178924,2.4737325672284465,838.3363273589953
2.5548592350835815,945.1503640826627,2.764212479830323,880.8322934236571,3.248376141043749,908.1560915851882,2.839159113037039,530.0165928445073,2.8996247183101813,931.7371291179281,2.621303749617176,731.6191965040751,2.1441794769825706,655.1458387614334,2.5069913927476013,799.3673692342152
2.5810238196453796,953.6360270422227,2.829486810288478,897.8091045806309,3.3094999748593263,930.2158898198558,2.850348998258437,475.7840461857029,2.954733074612948,901.2520055400903,2.6863038181826493,740.1213151771962,2.187713981414186,667.0286923650061,2.531894372603065,768.8694467680523
2.6240098002916317,948.5694956780898,2.859966448628462,906.2965959528088,3.379418473366884,957.3641603700707,2.8626907834290964,457.14520795908027,2.9883210144033203,872.4526783959337,2.7599339943044945,748.6270906755528,2.2443582043159678,684.0018466967441,2.560838144344034,729.8986602306544
2.6494613039324584,935.0209581796325,2.9118019463452316,908.0134754009939,3.4491175623602977,977.7326769332036,2.852853923544926,419.85290420489196,3.0046487390809484,843.6460376013056,2.873386997243668,787.6582148293406,2.322577696108681,700.9841430915716,2.594151822241725,692.624640602645
2.666556961909594,929.9434563397924,2.963308329790784,899.5607238685556,3.4927069191704496,991.310469033547,2.8514826140815197,377.47944178562784,3.0115235705241603,789.4116625298832,2.9605657108639707,814.8137990300272,2.3488519854275514,712.8596830446728,2.6273557953823437,651.9607439810944
2.6880773784219882,928.2576599061111,3.040814740662525,894.5088198053656,3.5580361020071405,1009.9822186872914,2.8328510895053687,335.09866571589214,3.018837220995662,748.7367954326254,3.0344701488784978,831.7942670122368,2.4142360206427784,733.2263711951878,2.6561898623662406,609.6000804501552
2.7058312649415597,943.5194200275178,3.109855601113503,894.5380744072517,3.636091036664244,1021.879699591807,2.8190831424927665,309.6691030264801,3.0170819448825017,694.4987635359673,3.1214294529846547,852.1700972258411,2.4622501359881883,750.1958687016901,2.6979142383061587,565.5499636602993
2.723749708596739,963.8659956392361,3.1749105220575125,904.7351315771432,3.7099406223002345,1037.165229077246,2.787725866096202,274.0625957059731,3.0071353802412593,653.816582788238,3.221333918425371,872.551412677299,2.510319103712135,768.8603047049629,2.7134191773057426,511.31924541411274
2.73724339371666,980.8208658447953,3.2357600939804083,918.320237327958,3.796406254999565,1042.2866128199153,2.743478280743615,240.14554164438277,3.0099694197989657,608.0550717880506,3.3341835452006454,892.9382133666106,2.5714429375277117,790.9201029396305,2.7722940636013327,463.88656528118713
